2025-07-09 15:27:45,357 - INFO - Starting phase: Optimized PDF Batch Translation Script
2025-07-09 15:27:45,357 - INFO - Reading configuration from 'config.ini'
2025-07-09 15:27:45,359 - INFO - Configuration loaded successfully
2025-07-09 15:27:45,359 - INFO - Starting phase: Input Configuration
2025-07-09 15:28:48,263 - INFO - Starting phase: Phase 1: PDF Text Extraction
2025-07-09 15:28:48,417 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,419 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,420 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,421 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,423 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,424 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,425 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,426 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,428 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,429 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,430 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,431 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,433 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,434 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,435 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,436 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,437 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,438 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,439 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,440 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,442 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,443 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,444 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,445 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,446 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,447 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,448 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,449 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,450 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,451 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,452 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,453 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,455 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,456 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,457 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,458 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,459 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,460 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,461 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,462 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,464 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,465 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,466 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,467 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,469 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,470 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,471 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,473 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,474 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,475 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,476 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,477 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,478 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,479 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,480 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,481 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,482 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,483 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,484 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,486 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,487 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,488 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,489 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,490 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,491 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,492 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,493 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,495 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,496 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,497 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,498 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,499 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,500 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,502 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,503 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,504 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,505 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,506 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,507 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,508 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,509 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,510 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,511 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,512 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,513 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,515 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,516 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,517 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,518 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,519 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,520 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,521 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,523 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,525 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,527 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,528 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,530 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,532 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,534 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,535 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,536 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,538 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,539 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,540 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,541 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,542 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,543 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,544 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,545 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,546 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,548 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,549 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,550 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,551 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,552 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,553 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,554 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,556 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,558 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,559 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,560 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,561 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,562 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,563 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,565 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,566 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,567 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,568 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,569 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,570 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,571 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,572 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,573 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,575 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,576 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,578 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,580 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,581 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,582 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,583 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,584 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,586 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,588 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,589 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,590 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,591 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,593 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,594 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,595 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,596 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,597 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,598 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,599 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,600 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,601 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,602 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,603 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,605 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,606 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,607 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,608 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,609 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,610 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,611 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,612 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,613 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,614 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,615 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,616 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,618 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,619 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,620 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,621 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,622 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,624 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,625 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,626 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,627 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,628 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,629 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,630 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,631 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,632 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,633 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,634 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,635 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,637 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,638 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,639 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,640 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,641 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,642 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,643 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,644 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,646 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,647 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,648 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,649 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,650 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,652 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,653 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,654 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,655 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,656 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,657 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,658 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,659 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,661 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,662 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,663 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,664 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,665 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,666 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,667 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,668 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,669 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,670 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,671 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,673 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,674 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,675 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,676 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,677 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,678 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,679 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,680 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,682 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,683 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,684 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,685 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,686 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,687 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,688 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,689 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,691 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,692 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,693 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,694 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,695 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,697 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,698 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,699 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,700 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,701 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,704 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,705 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,706 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,707 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,708 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,709 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,710 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,711 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,713 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,714 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,715 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,716 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,717 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,718 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,719 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,720 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,721 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,722 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,724 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,725 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,726 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,727 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,728 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,729 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,730 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,731 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,732 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,733 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,734 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,735 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,737 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,738 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,739 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,740 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,741 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,742 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,744 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,745 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,746 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,747 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,748 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,749 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,751 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,752 - WARNING - CropBox missing from /Page, defaulting to MediaBox
